caption_word_count,emoji_count,hashtag_count,sentiment_score,reading_level,image_brightness,image_contrast,engagement_rate,monetization_clicks
112,5,9,0.9037014640819314,10,74,0.9839180921621264,0.001,9
102,7,19,0.6660001675459242,7,79,1.9514962972196312,0.001,19
24,6,8,-0.272011157832984,6,184,0.6456162357104862,0.001,6
116,7,14,-0.23872669002060792,8,76,1.8540067554125552,0.001,18
81,2,0,-0.34925786114036894,6,188,1.1678181830987882,0.001,11
30,3,1,0.6072725908313767,6,150,0.610616247711741,0.001,6
112,5,18,0.5591834177377857,4,185,1.8192823888791312,0.001,18
131,6,13,0.9795443525453216,11,60,0.8779103186136702,0.001,8
84,8,7,0.28303512649652296,6,175,0.5333751882428378,0.001,5
97,0,5,0.7396223932733228,4,79,0.7037106583537884,0.15,1055
126,7,11,0.3646597879641813,4,143,1.4886721128496423,0.001,14
109,7,14,0.8111300687911556,8,165,1.9667172337072922,0.001,19
113,5,13,0.5815315589541272,5,64,0.6671932093752753,0.001,6
140,3,0,0.4643260224868794,4,233,1.192922072187143,0.001,11
62,2,10,0.34768400647457554,10,84,0.7709548264212988,0.001,7
11,2,2,0.5844557866644622,6,88,1.6175548011523881,0.01246334681296756,201
97,5,18,0.12948076400651565,8,73,0.6770883496427212,0.001,6
47,7,17,-0.35513512894150384,9,57,0.8597626227213344,0.001,8
139,6,19,-0.4400208068032388,9,92,0.794608951473607,0.001,7
30,0,1,0.21853559741376083,9,219,1.3287796705504669,0.001,13
67,5,6,0.39893737333021195,6,133,1.8097761380009485,0.12199414752415168,2207
31,6,7,-0.38172645414406187,5,218,1.266635301734628,0.001,12
98,6,18,-0.06964467663184665,7,96,0.5873651791572069,0.001,5
58,8,14,-0.016951691036769356,11,75,1.3450833958952468,0.001,13
68,9,9,0.3441933028123768,5,229,1.696281498977014,0.001,16
24,4,0,-0.08227631593581636,11,199,0.698234295956484,0.001,6
60,0,5,-0.35652710066598997,8,182,0.6090668215168875,0.001,6
117,1,12,-0.2527148885801748,5,192,0.7817116663363536,0.001,7
64,3,13,-0.2390782975937102,9,213,1.6191294842324413,0.001,16
73,4,2,0.7640424163341422,5,150,1.3875206292980025,0.14271048798737676,1980
140,8,10,-0.0735204695325628,8,112,1.3108919809426234,0.001,13
60,0,2,0.5720376008721355,8,142,0.8742198419476526,0.001,8
144,2,18,0.35175811950895863,9,226,0.9983548928702892,0.001,9
30,4,9,0.965558130424663,10,104,1.9488275194150133,0.15,2923
82,2,14,-0.09076599667969665,6,121,0.8609378400940786,0.001,8
27,3,10,-0.2624404692061997,11,109,1.8524681348826326,0.001,18
141,2,14,-0.4219432434581594,4,234,1.370797256686605,0.001,13
98,3,12,-0.13856050657807922,7,78,0.6849446995568718,0.001,6
69,0,4,0.5261063296230888,7,68,1.200968567232602,0.00942016038706662,113
23,7,3,-0.3721126630447091,9,122,1.9228230760413139,0.001,19
18,3,12,-0.1329472322755122,10,187,1.127848397206038,0.001,11
99,6,8,0.782962552276018,7,150,1.7950798471840435,0.08518348891983556,1529
62,1,16,0.37442942404678037,5,187,0.8846430419775615,0.001,8
139,1,1,-0.3957176896202068,8,106,1.3563832277005594,0.001,13
93,5,4,-0.4284752836253551,11,231,1.7657780873029605,0.001,17
101,1,15,-0.4083156870113497,10,233,1.8810326617545432,0.001,18
120,5,6,0.9128125752208791,8,117,1.228735050726951,0.15,1843
17,1,0,0.7748071428415821,9,246,1.4595321532181436,0.11632462504361687,1697
44,3,11,0.7674100630281622,8,136,0.5044701961734964,0.001,5
90,6,10,0.8863251433653188,11,152,0.8798349612700844,0.001,8
59,7,11,0.2578830853763654,4,232,0.9180681556204187,0.001,9
113,2,18,-0.12898299328498397,8,246,0.6402395174816462,0.001,6
141,8,11,0.10202200635777725,8,121,0.919542520035465,0.001,9
11,1,11,0.5782961093257162,10,178,0.9816830495872086,0.001,9
143,7,13,0.8140493072818975,11,167,1.95314905935229,0.001,19
63,7,1,0.15263639004928642,5,189,1.5029035708412564,0.001,15
115,3,1,0.3030714330730918,6,212,1.1390076191245164,0.001,11
13,0,3,0.8976744899143798,7,165,1.982081691043264,0.15,2973
63,0,19,-0.3387520443358564,5,131,0.7298484803519167,0.001,7
53,1,15,0.7934488254611858,5,251,1.2140767908957268,0.001,12
23,8,9,-0.2610387766220961,5,210,1.470593310573574,0.001,14
104,1,12,0.22579202543593047,7,158,0.5833709517261155,0.001,5
57,1,1,-0.17236530700541064,9,202,1.5754982871246783,0.001,15
24,5,2,0.40442144603590635,5,65,0.6498010293829848,0.001,6
49,6,18,0.3378601325623991,6,185,0.7104234628995154,0.001,7
91,6,5,0.07001104636112787,9,84,0.7395342686931261,0.07531566404004347,556
120,8,18,0.7949552722676865,8,223,1.8933347399832767,0.001,18
62,5,19,0.48971998043208975,6,188,1.5248533177072516,0.001,15
33,7,18,0.5818076874429154,10,238,1.483141251654656,0.001,14
133,5,7,-0.2740103926884972,11,93,1.3332402446974883,0.001,13
50,1,13,0.8247485169634263,9,188,0.9392089980426542,0.001,9
24,0,9,-0.24943975456997242,8,188,1.4313345568990272,0.001,14
54,4,2,-0.16582255368505971,8,199,1.1152245798329596,0.001,11
74,8,5,-0.30791729225467934,5,134,0.7181242251389224,0.001,7
